Spider Solitaire 蜘蛛紙牌,https://ec.nintendo.com/HK/zh/titles/70010000044029,× 1,HKD 82,HKD 10
Hello Neighbor,https://ec.nintendo.com/HK/zh/titles/70010000010713,× 1,HKD 309,HKD 77
LEGO® 超人特攻隊,https://ec.nintendo.com/HK/zh/titles/70010000010701,× 1 ～ 2,HKD 429,HKD 85
豪斯托裡亞,https://ec.nintendo.com/HK/zh/titles/70010000045652,× 1,HKD 99,HKD 10
LiEat,https://ec.nintendo.com/HK/zh/titles/70010000041495,× 1,HKD 52,HKD 31
蠟燭人 Candleman,https://ec.nintendo.com/HK/zh/titles/70010000037306,× 1,HKD 82,HKD 57
Capcom Belt Action Collection,https://ec.nintendo.com/HK/zh/titles/70010000008902,× 1 ～ 4,HKD 228,HKD 114
Monster Hunter Stories 2: 破滅之翼,https://ec.nintendo.com/HK/zh/titles/70010000016891,× 1,HKD 468,HKD 234
Banners of Ruin,https://ec.nintendo.com/HK/zh/titles/70010000040692,× 1,HKD 89,HKD 44
Monster Hunter Stories 2: 破滅之翼 豪華版,https://ec.nintendo.com/HK/zh/bundles/70070000012174,× 1,HKD 543,HKD 271
邊緣禁地傳奇合輯,https://ec.nintendo.com/HK/zh/bundles/70070000010705,× 1 ～ 2,HKD 398,HKD 159
七龍珠Z 卡卡洛特 + 新覺醒篇 數位終極版,https://ec.nintendo.com/HK/zh/bundles/70070000012846,× 1,HKD 579,HKD 348
Worms Rumble - Digital Deluxe Edition,https://ec.nintendo.com/HK/zh/bundles/70070000012213,× 1,HKD 161,HKD 40
Secret Neighbor,https://ec.nintendo.com/HK/zh/titles/70010000038706,× 1,HKD 155,HKD 78
THE 密室解碼 ～牽動命運的35道謎團～,https://ec.nintendo.com/HK/zh/titles/70010000039247,× 1,HKD 149,HKD 74
王牌釣手 Nintendo Switch版,https://ec.nintendo.com/HK/zh/titles/70010000016823,× 1 ～ 4,HKD 399,HKD 148
網路協定,https://ec.nintendo.com/HK/zh/titles/70010000048952,× 1 ～ 4,HKD 79,HKD 10
滅魂·誤佳期,https://ec.nintendo.com/HK/zh/titles/70010000036796,× 1,HKD 39,HKD 24
Zumba Aqua,https://ec.nintendo.com/HK/zh/titles/70010000045727,× 1,HKD 20,HKD 13
暴走大鵝,https://ec.nintendo.com/HK/zh/titles/70010000039155,× 1 ～ 2,HKD 89,HKD 44
Mega Man 11,https://ec.nintendo.com/HK/zh/titles/70010000011229,× 1,HKD 228,HKD 78
Food Truck Tycoon,https://ec.nintendo.com/HK/zh/titles/70010000036348,× 1,HKD 40,HKD 10
Baby Storm (寶寶鬧翻天),https://ec.nintendo.com/HK/zh/titles/70010000049835,× 1 ～ 4,HKD 149,HKD 74
LEGO® Harry Potter™ Collection,https://ec.nintendo.com/HK/zh/titles/70010000013535,× 1 ～ 2,HKD 388,HKD 174
PICROSS S MEGA DRIVE & Master System edition,https://ec.nintendo.com/HK/zh/titles/70010000042754,× 1 ～ 2,HKD 79,HKD 55
Devil May Cry 3 Special Edition,https://ec.nintendo.com/HK/zh/titles/70010000017210,× 1 ～ 2,HKD 156,HKD 93
Burger Chef Tycoon 漢堡廚師大亨 完整版,https://ec.nintendo.com/HK/zh/bundles/70070000013274,× 1,HKD 56,HKD 10
MISTOVER,https://ec.nintendo.com/HK/zh/titles/70010000022227,× 1,HKD 179,HKD 107
Among Pipes,https://ec.nintendo.com/HK/zh/titles/70010000039553,× 1,HKD 69,HKD 10
LEGO® Marvel™超級英雄,https://ec.nintendo.com/HK/zh/titles/70010000026608,× 1 ～ 2,HKD 312,HKD 137
Ni no Kuni™ II: Revenant Kingdom PRINCE'S EDITION,https://ec.nintendo.com/HK/zh/titles/70010000037237,× 1,HKD 479,HKD 248
瑪拉的夏天,https://ec.nintendo.com/HK/zh/titles/70010000040482,× 1,HKD 190,HKD 104
PICROSS S,https://ec.nintendo.com/HK/zh/titles/70010000030033,× 1 ～ 2,HKD 59,HKD 41
Street Basketball - 街頭籃球,https://ec.nintendo.com/HK/zh/titles/70010000037176,× 1 ～ 2,HKD 50,HKD 10
終結降臨 (Death Come True),https://ec.nintendo.com/HK/zh/titles/70010000029792,× 1,HKD 123,HKD 86
翻轉棋 Let's Go,https://ec.nintendo.com/HK/zh/titles/70010000038527,× 1 ～ 2,HKD 32,HKD 22
The Survivalists - Deluxe Edition,https://ec.nintendo.com/HK/zh/bundles/70070000011210,× 1,HKD 205,HKD 82
PGA TOUR 2K21,https://ec.nintendo.com/HK/zh/titles/70010000028539,× 1 ～ 4,HKD 429,HKD 107
Royal Tower Defense,https://ec.nintendo.com/HK/zh/titles/70010000039904,× 1,HKD 75,HKD 10
妖詩～Youkai Poetry～,https://ec.nintendo.com/HK/zh/titles/70010000041302,× 1,HKD 32,HKD 21
專業版 體操運動員 模擬器,https://ec.nintendo.com/HK/zh/titles/70010000049605,× 1,HKD 162,HKD 40
巴龍飛行,https://ec.nintendo.com/HK/zh/titles/70010000051766,× 1,HKD 47,HKD 10
